complexity,stem,answer,distractor1,distractor2,distractor3
difficulty,stem,choice,choice,choice,choice
0.5,1/9c^2-1/4,(-1/3c-1/2)(1/2-1/3c),(1/3c+1/4)(-1/3c+1/4),(1/2-2/3c^2)(-1/2-2/3c^2),(1/4-1/9c^2)(1/9c^2+1/4)
0.5,-16+y^2,(4+y)(y-4),(y+8)(-y+8),(y^2-8)(y^2+8),(2y^2+4)(-2y^2+4)
0.5,b^2-9,(b+3)(-3+b),(b^2+9)(-b^2+9),(3+b^2)(3-b^2),(2b^2-3)(3+2b^2)
0.5,-4+9/16x^2,(3/4x-2)(2+3/4x),(3/4x-2)(-3/4x-2),(-9/16x+4)(9/16x+4),(-3/4x+4)(4+3/4x)
0.5,-4+25a^2,(2-5a)(-2-5a),(-5a+2)(2+5a),(25a+4)(4-25a),(4-10a^2)(-4-10a^2)
0.5,16/9-4/25a^2,(4/3+2/5a)(4/3-2/5a),(4/3-4/5a^2)(-4/3-4/5a^2),(2/5a^2-4/9)(-4/9-2/5a^2),(4/3+2/5a)(-4/3+2/5a)
0.5,25/16-25b^2,(5b+5/4)(5/4-5b),(25/16-5b)(25/16+5b),(5/16-5b^2)(5b^2+5/16),(5/4-25b)(25b+5/4)
0.5,-a^2+4/9,(2/3+a)(2/3-a),(a-2/9)(2/9+a),(4/3+a^2)(-a^2+4/3),(a^2-4/3)(4/3+a^2)
0.5,-c^2+4,(-2+c)(-2-c),(-2+c)(c+2),(4+c)(c-4),(-c^2-2)(-2+c^2)
0.5,-16a^2+1/25,(1/5+4a)(1/5-4a),(16a-2/5)(2/5+16a),(-4a-1/25)(4a-1/25),(-16a+1/5)(16a+1/5)
