complexity,stem,answer,distractor1,distractor2,distractor3
difficulty,choice,choice,choice,choice,choice
0.5,\left(-\frac{1}{3}-5y\right)\left(-\frac{1}{3}+5y\right),\frac{1}{9}-25y^2,5y^2-\frac{1}{9},-10y^2-\frac{1}{3},-\frac{2}{3}-25y
0.5,\left(1+2c\right)\left(1-2c\right),1-4c^2,2-2c^2,2c^2-2,2-4c^2
0.5,\left(-1-\frac{3}{5}x\right)\left(-1+\frac{3}{5}x\right),1-\frac{9}{25}x^2,-\frac{6}{10}x^2-1,\frac{9}{25}x^2+2,1-\frac{9}{25}x^2
0.5,\left(-3-2x\right)\left(-3+2x\right),9-4x^2,9-2x^2,4x+6,3-4x^2
0.5,\left(3+a\right)\left(3-a\right),9-a^2,a^2-9,9-2a^2,2a^2-9
0.5,\left(1-2c\right)\left(1+2c\right),1-4c^2,2+4c^2,4c^2-1,-4c-2
0.5,\left(-2y+\frac{1}{5}\right)\left(-2y-\frac{1}{5}\right),4y^2-\frac{1}{25},\frac{1}{25}-4y^2,-4y-\frac{1}{25},\frac{1}{25}-4y
0.5,\left(-4-\frac{4}{5}y\right)\left(-4+\frac{4}{5}y\right),16-\frac{16}{25}y^2,4+\frac{16}{25}y^2,\frac{16}{25}y^2+8,-\frac{8}{10}y^2-16
0.5,\left(-a-4\right)\left(-a+4\right),a^2-16,16-a^2,16+2a,a^2+8
0.5,\left(-\frac{3}{4}+4a\right)\left(-\frac{3}{4}-4a\right),\frac{9}{16}-16a^2,\frac{9}{16}-8a^2,4a^2+\frac{9}{16},-\frac{6}{8}-8a^2
